company,brand_name,country,product_category,contact_name,email_address,address,license_number,pdf,certification_body,expiry_date,product_details
Basyazicioglu Tekstil San. Ve Tic. A.S,,Turkey (TR),Yarns,Murat Basyazicioglu,mailto:boykalite@bamen.com.tr,Organize Sanayi Bolgesi 17. Cad. No: 27 Melikgazi,CU 811996,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/449?task=download_certificate,Control Union Certifications,6/14/2024,Yarns
Bateks Ic Giyim Tekstil Kap. San. Ve Tic. A.S.,,Turkey (TR),Garments,Serap Kum,mailto:serap@bateks.info.tr,"Cengeldere Mh. Cengeldere Cd. No: 195 Cavusbasi Beykoz, 34830, Istanbul",CU 1028510,,Control Union Certifications,5/4/2024,Garments
Bati Basma Sanayi A.S.,,Turkey (TR),Fabrics,Gizem Cokkal,mailto:gizemcokkal@batibasma.com.tr,"Efes Cad. No: 1 Torbali, 35860, Izmir",CU 807128,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/450?task=download_certificate,Control Union Certifications,10/1/2024,Dyed  futter fabricDyed Woven FabricDyed interlock fabricDyed ribana fabricDyed single jersey fabricMelange futter fabricPrinted Knitted fabric
Bati Menderes Pamuk Circir Tarim Hayv. San. Tic. A.S.,,Turkey (TR),Raw Fibres,Unal Oz,mailto:batimenderes09@gmail.com,"Buyukdere Mah. Merkez Sk. No: 208 Kocarli, 09200, Aydin",CU 1206748,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/39831?task=download_certificate,Control Union Certifications,12/15/2024,Fibres
Baumwolle Textiles LLP,,"India (IN), Karnataka","Accessories, Fabrics, Garments, Home Textiles, Product category (other), Yarns",Mr. Nitin B,mailto:baumwolletextiles@gmail.com,"1104, CASA-Paradiso Sobha City, Thanisandra Main Road,, 560064, Bangalore",CU 822798,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/2150?task=download_certificate,Control Union Certifications,4/3/2024,Babies' apparel (PC0003) / Babies' clothing (PD0013) - 100.0% Organic Cotton (RM0104)Children's apparel (PC0004) / Knitted fabrics (PD0058) - 100.0% Organic Cotton (RM0104)Children's apparel (PC0004) / Woven fabrics (PD0059) - 100.0% Organic Cotton (RM0104)Dyed fabrics (PC0025) / Denim fabrics (PD0061) - 100.0% Organic Cotton (RM0104)Dyed fabrics (PC0025) / Knitted fabrics (PD0058) - 100.0% Organic Cotton (RM0104)Dyed fabrics (PC0025) / Knitted fabrics (PD0058) - 95.0% Organic Cotton (RM0104) + 5.0% Elastane (Spandex) (RM0160)Dyed fabrics (PC0025) / Woven fabrics (PD0059) - 100.0% Organic Cotton (RM0104)Greige fabrics (PC0026) / Woven fabrics (PD0059) - 100.0% Organic Cotton (RM0104)Greige yarns (PC0030) / Carded yarns (PD0067) - 100.0% Organic Cotton (RM0104)Greige yarns (PC0030) / Normally combed yarns (PD0102) - 100.0% Organic Cotton (RM0104)Home textiles (PC0010) / Bed linenHome textiles (PC0010) / BlanketsHome textiles (PC0010) / CarpetsHome textiles (PC0010) / CurtainsHome textiles (PC0010) / Mattresses (PD0034) - 100.0% Organic Cotton (RM0104)Home textiles (PC0010) / PillowsHome textiles (PC0010) / Table linenHome textiles (PC0010) / TowelsMen's apparel (PC0001) / Knitted fabrics (PD0058) - 100.0% Organic Cotton (RM0104)Men's apparel (PC0001) / Woven fabrics (PD0059) - 100.0% Organic Cotton (RM0104)Undyed fabrics (PC0027) / Woven fabrics (PD0059) - 100.0% Organic Cotton (RM0104)Undyed fibers (PC0034) / Lint cotton (PD0074) - 100.0% Organic Cotton (RM0104)Women's apparel (PC0002) / Knitted fabrics (PD0058) - 100.0% Organic Cotton (RM0104)Women's apparel (PC0002) / Woven fabrics (PD0059) - 100.0% Organic Cotton (RM0104)Worn accessories (PC0012) / GlovesWorn accessories (PC0012) / Other [Aprons - 100% Organic Cotton] (PD0100) - 100.0% Organic Cotton (RM0104)bed sheets (PD0015) - 100.0% Organic Cotton (RM0104)bedspreadsblinds (PD0020) - 100.0% Organic Cotton (RM0104)cushions (PD0023) - 100.0% Organic Cotton (RM0104)floor coverings (PD0022) - 100.0% Organic Cotton (RM0104)hand covering (PD0026) - 100.0% Organic Cotton (RM0104)kitchen linenmittensnapkins (PD0016) - 100.0% Organic Cotton (RM0104)quilts (PD0019) - 100.0% Organic Cotton (RM0104)rugstableclothtoilet linen (PD0017) - 100.0% Organic Cotton (RM0104)
Bay Zara Tekstil San.Tic.Ltd.Sti.,,Turkey (TR),"Fabrics, Yarns, Accessories, Home Textiles",Deniz Cen,mailto:muhasebe@byzara.com,Denizli Organize Sanayi Bolgesi 2. Kisim Ibrahim Calli Cd. No: 2 Honaz,CU 846755,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/11323?task=download_certificate,Control Union Certifications,4/6/2024,Dyed fabricsDyed yarnsGreige fabricsGreige yarnsHome textiles
BAYHANLAR TEKSTIL SANAYI VE TICARET LIMITED SIRKETI,,Turkey (TR),Fabrics,,,"Telsiz Mah Dursun Kilic Cad. No:25, Zeytinburnu, 34000, Istanbul",USB 003816,,USB Certification,8/15/2024,Knitted fabrics (PD0058) - 100% organic cotton (RM0104)
Baykan Denim Konfeksiyon A.S.,,Turkey (TR),"Ladieswear, Men's wear",,mailto:betul.uckac@baykandenim.com,2. Org. San. Bol. 9. Cad. No:16 Yeşilyurt Malatya,14928,,IDFL,4/13/2024,"5795657956
Women's Denim Apparel
(PC0007)
Dresses
(PD0011)
98% Organic Cotton (RM0104) + 2% Elastane (spandex)
(RM0160)
GOTS
(Organic)
5099657956
Women's Denim Apparel
(PC0007)
Jackets
(PD0001)
98% Organic Cotton (RM0104) + 2% Elastane (spandex)
(RM0160)
GOTS
(Organic)
5099657956
Women's Denim Apparel
(PC0007)
Pants (PD0003) 100% Organic Cotton (RM0104) GOTS
(Organic)
5099657956
Women's Denim Apparel
(PC0007)
Pants (PD0003) 98% Organic Cotton (RM0104) + 2% Elastane (spandex)
(RM0160)
GOTS
(Organic)
5099657956
Women's Denim Apparel
(PC0007)
Shirts (PD0005) 100% Organic Cotton (RM0104) GOTS
(Organic)
50996Men's Denim Apparel (PC0006) Pants (PD0003) 98% Organic Cotton (RM0104) + 2% Elastane (spandex)
(RM0160)
GOTS
(Organic)
50996"
BAYKAN MODA ANONIM SIRKETI LULEBURGAZ SUBESI,,Turkey (TR),Ladieswear,,,"Banka Tarla Mevkii Turgutbey Cad. Tck Bakim Parki Lojman Arkasi, Luleburgaz, 39750, KIRKLARELI",USB 004718,,USB Certification,6/25/2024,Pantstrousers (PD0003) - 80% organic cotton (RM0104) + 20% hemp (RM0114)
Baykum Tekstil San. Tic. Ltd. Sti.,,Turkey (TR),Fabrics,,mailto:info@baykum.com.tr,,17810,,IDFL,8/24/2024,"Dyed Fabrics (PC0025) Knitted Fabrics (PD0058) 100% Organic Cotton (RM0104) GOTS
(Organic)
60532"
Baysal Circir Fabrikası - Hilmi Baysal,,Turkey (TR),Raw Fibres,Hilmi Baysal,mailto:baysalcircir@gmail.com,"Fatih Mh. Sanayi Ici 75 Sk. No: 1 Kuyucak, 09930, Aydin",CU 1206750,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/40069?task=download_certificate,Control Union Certifications,12/17/2024,Fibres
Bazaar Konnections,,"India (IN), Haryana",Accessories,Shilpa Thakur,mailto:compliance@bazaarkonnections.com,"Plot No.691, HSIIDC Pace city - II, Udyog Vihar, Sector -37, 122001, Gurgaon",CU 1033782,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/29574?task=download_certificate,Control Union Certifications,8/17/2024,Carried accessories(PC0011)Bagshandbagspouches (PD0024)- 100.0% Organic Cotton (RM0104)totes
BAZEM INSAAT TEKSTIL SAGLIK HIZMETLERI LIMITED SIRKETI BITLIS SUBESI,,Turkey (TR),"Children's wear, Fabrics, Ladieswear, Men's wear",Esra Guzelucar,mailto:esra.guzelucar@bazemtekstil.com,"Bes Minare Mah. Bitlis OSB 5. Sk. No: 8 Ic Kapi No: 1,, Bitlis,, 13100, Merkez,",GCL-302829,,GCL International,1/21/2025,"Women's Apparel (PC0002) [Pantssinglets (PD0007) 100% Organic Cotton (RM0104)] 
Children's Apparel (PC0004) [Active wearsportswear (PD0008) 100% Organic Cotton (RM0104)] 
Printed fabrics (PC0039) [Knitted fabrics (Cut panels) (PD0058) 100% Organic Cotton (RM0104)]trousers (PD0003) 100% Organic Cotton (RM0104)] 
Men's Apparel (PC0001) [T shirts"
BBC JACQUARD SRL,,Italy (IT),Fabrics,,mailto:franco.caresani@bbcjacquard.it,"VIA GORIZIA 8, 22073, fino mornasco",1159688,,Control Union Certifications,3/27/2024,Dyed fabrics (PC0025) Woven fabrics (PD0059) 100.0%Organic Silk (RM0067)
BCF Confection,,Tunisia (TN),Garments,Jameleddine KORTAS,mailto:k.jamel@bcf-confection.com,"Rue Hedi Chaker   Akouda, 4022, SOUSSE",250294,,Ecocert Greenlife,7/3/2024,"Shirtsblouses (PD0005)
 Babies accessories (PD0014)"
BD Designs Private Limited.,,"Bangladesh (BD), Chittagong","Children's wear, Ladieswear, Men's wear",,,"Plot# 48-49, Sector# 03, Karnaphuli-EPZ, 4204, Chittagong",153082,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/36210?task=download_certificate,Intertek Testing Services,12/26/2024,"Overcoatsblouses | PD0005
Workwearjacketstrousers | PD0003
Shirtsuniforms | PD0010vests | PD0001
Pants"
BD KNIT DESIGN LTD.,,"Bangladesh (BD), Dhaka","Babywear, Children's wear, Ladieswear, Men's wear",,,"Sharifpur, National University, 1704, Gazipur",USB 004830,,USB Certification,2/1/2025,"Pantscardigans (PD0004) - 100% in-conversion cotton (RM0103)
T-shirtscardigans (PD0004) - 100% organic cotton (RM0104)
Overcoatscardigans (PD0004) - 90% in-conversion cotton (RM0103) + 10% viscose (rayon) (RM0238)
Babies clothing (PD0013) - 90% in-conversion cotton (RM0103) + 10% viscose (rayon) (RM0238)
Sweaterscardigans (PD0004) - 90% organic cotton (RM0104) + 10% elastane (spandex) (RM0160)
Babies clothing (PD0013) - 95% organic cotton (RM0104) + 5% elastane (spandex) (RM0160)
Overcoatscardigans (PD0004) - 90% organic cotton (RM0104) + 10% viscose (rayon) (RM0238)
Pantscardigans (PD0004) - 95% in-conversion cotton (RM0103) + 5% viscose (rayon) (RM0238)
Babies clothing (PD0013) - 95% in-conversion cotton (RM0103) + 5% viscose (rayon) (RM0238)
Sweaterscardigans (PD0004) - 95% organic cotton (RM0104) + 5% elastane (spandex) (RM0160)
Pantscardigans (PD0004) - 95% organic cotton (RM0104) + 5% viscose (rayon) (RM0238)
Sweaterscardigans (PD0004) - 96% organic cotton (RM0104) + 4% elastane (spandex) (RM0160)
Undergarmentcardigans (PD0004) - 98% organic cotton (RM0104) + 2% elastane (spandex) (RM0160)
Undergarmentcardigans (PD0004) - 98% organic cotton (RM0104) + 2% viscose (rayon) (RM0238)
Babies clothing (PD0013) - 98% organic cotton (RM0104) + 2% viscose (rayon) (RM0238)
Pantscardigans (PD0004) - 99% in-conversion cotton (RM0103) + 1% viscose (rayon) (RM0238)
Babies clothing (PD0013) - 99% in-conversion cotton (RM0103) + 1% viscose (rayon) (RM0238)
Pantscardigans (PD0004) - 99% organic cotton (RM0104) + 1% viscose (rayon) (RM0238)
Babies clothing (PD0013) - 90% organic cotton (RM0104) + 10% viscose (rayon) (RM0238)
Pantsjacketsjacketsjacketsjacketsjacketsjacketsjacketsjacketspulloverspulloverspulloverspulloverspulloverspulloverspulloverspulloverspulloverspulloverspulloverspulloverspulloversrobes (PD0006) - 100% in-conversion cotton (RM0103)
T-shirtsrobes (PD0006) - 100% organic cotton (RM0104)
Undergarmentrobes (PD0006) - 90% organic cotton (RM0104) + 10% elastane (spandex) (RM0160)
T-shirtsrobes (PD0006) - 90% organic cotton (RM0104) + 10% viscose (rayon) (RM0238)
Babies clothing (PD0013) - 95% organic cotton (RM0104) + 5% viscose (rayon) (RM0238)
Babies clothing (PD0013) - 99% organic cotton (RM0104) + 1% viscose (rayon) (RM0238)
T-shirtsrobes (PD0006) - 95% organic cotton (RM0104) + 5% elastane (spandex) (RM0160)
Overcoatsrobes (PD0006) - 95% organic cotton (RM0104) + 5% viscose (rayon) (RM0238)
Pantsrobes (PD0006) - 96% organic cotton (RM0104) + 4% elastane (spandex) (RM0160)
Sweatersrobes (PD0006) - 98% organic cotton (RM0104) + 2% elastane (spandex) (RM0160)
T-shirtsrobes (PD0006) - 98% organic cotton (RM0104) + 2% viscose (rayon) (RM0238)
Undergarmentrobes (PD0006) - 99% organic cotton (RM0104) + 1% viscose (rayon) (RM0238)
Undergarmentsinglets (PD0007) - 100% in-conversion cotton (RM0103)
Activewearsinglets (PD0007) - 100% organic cotton (RM0104)
Sweaterssinglets (PD0007) - 90% in-conversion cotton (RM0103) + 10% viscose (rayon) (RM0238)
Pantssinglets (PD0007) - 90% in-conversion cotton (RM0103) + 5% viscose (rayon) (RM0238) + 5% elastane (spandex) (RM0160)
T-shirtssinglets (PD0007) - 90% organic cotton (RM0104) + 10% elastane (spandex) (RM0160)
Pantssinglets (PD0007) - 90% organic cotton (RM0104) + 10% viscose (rayon) (RM0238)
T-shirtssinglets (PD0007) - 95% in-conversion cotton (RM0103) + 5% elastane (spandex) (RM0160)
Pantssinglets (PD0007) - 95% in-conversion cotton (RM0103) + 5% viscose (rayon) (RM0238)
Pantssinglets (PD0007) - 95% organic cotton (RM0104) + 5% elastane (spandex) (RM0160)
Sweaterssinglets (PD0007) - 95% organic cotton (RM0104) + 5% viscose (rayon) (RM0238)
Undergarmentsinglets (PD0007) - 96% organic cotton (RM0104) + 4% elastane (spandex) (RM0160)
Pantssinglets (PD0007) - 98% organic cotton (RM0104) + 2% elastane (spandex) (RM0160)
Sweaterssinglets (PD0007) - 98% organic cotton (RM0104) + 2% viscose (rayon) (RM0238)
T-shirtssinglets (PD0007) - 99% in-conversion cotton (RM0103) + 1% viscose (rayon) (RM0238)
Pantssinglets (PD0007) - 99% organic cotton (RM0104) + 1% viscose (rayon) (RM0238)
T-shirtsskirts (PD0011) - 100% in-conversion cotton (RM0103)
T-shirtssleepwearsleepwearsleepwearsleepwearsleepwearsleepwearsleepwearsleepwearsleepwearsleepwearsportswear (PD0008) - 100% in-conversion cotton (RM0103)
Undergarmenttrousers (PD0003) - 100% in-conversion cotton (RM0103)
Sweaterstrousers (PD0003) - 100% organic cotton (RM0104)
Dressestrousers (PD0003) - 90% in-conversion cotton (RM0103) + 10% viscose (rayon) (RM0238)
Babies clothing (PD0013) - 90% in-conversion cotton (RM0103) + 5% elastane (spandex) (RM0160) + 5% viscose (rayon) (RM0238)
Babies clothing (PD0013) - 93% in-conversion cotton (RM0103) + 7% elastane (spandex) (RM0160)
Sweaterstrousers (PD0003) - 90% in-conversion cotton (RM0103) + 5% viscose (rayon) (RM0238) + 5% elastane (spandex) (RM0160)
T-shirtstrousers (PD0003) - 90% organic cotton (RM0104) + 10% elastane (spandex) (RM0160)
Undergarmenttrousers (PD0003) - 90% organic cotton (RM0104) + 10% viscose (rayon) (RM0238)
Sweaterstrousers (PD0003) - 95% in-conversion cotton (RM0103) + 5% elastane (spandex) (RM0160)
T-shirtstrousers (PD0003) - 95% in-conversion cotton (RM0103) + 5% viscose (rayon) (RM0238)
T-shirtstrousers (PD0003) - 95% organic cotton (RM0104) + 5% elastane (spandex) (RM0160)
Undergarmenttrousers (PD0003) - 95% organic cotton (RM0104) + 5% viscose (rayon) (RM0238)
Babies clothing (PD0013) - 100% organic cotton (RM0104)
Sweaterstrousers (PD0003) - 96% organic cotton (RM0104) + 4% elastane (spandex) (RM0160)
Sweaterstrousers (PD0003) - 98% organic cotton (RM0104) + 2% elastane (spandex) (RM0160)
Pantstrousers (PD0003) - 98% organic cotton (RM0104) + 2% viscose (rayon) (RM0238)
Sweaterstrousers (PD0003) - 99% in-conversion cotton (RM0103) + 1% viscose (rayon) (RM0238)
T-shirtstrousers (PD0003) - 99% organic cotton (RM0104) + 1% viscose (rayon) (RM0238)
Overcoatsvests (PD0001) - 100% organic cotton (RM0104)
T-shirtsvests (PD0001) - 90% organic cotton (RM0104) + 10% elastane (spandex) (RM0160)
Babies clothing (PD0013) - 90% organic cotton (RM0104) + 10% elastane (spandex) (RM0160)
Babies clothing (PD0013) - 100% in-conversion cotton (RM0103)vests (PD0001) - 90% organic cotton (RM0104) + 10% viscose (rayon) (RM0238)
Pantsvests (PD0001) - 95% organic cotton (RM0104) + 5% elastane (spandex) (RM0160)
Overcoatsvests (PD0001) - 95% organic cotton (RM0104) + 5% viscose (rayon) (RM0238)
Overcoatsvests (PD0001) - 98% organic cotton (RM0104) + 2% elastane (spandex) (RM0160)
Babies clothing (PD0013) - 98% organic cotton (RM0104) + 2% elastane (spandex) (RM0160)
Overcoatsvests (PD0001) - 98% organic cotton (RM0104) + 2% viscose (rayon) (RM0238)
Overcoatsvests (PD0001) - 99% organic cotton (RM0104) + 1% viscose (rayon) (RM0238)
Undergarment"
BDB EXIM PVT LTD,,"India (IN), West Bengal",Raw Fibres,,,"2, CLIVE GHAT STREET, 3RD FLOOR, UNIT NO.5, 700001, KOLKATA,",229152,,Intertek Testing Services,9/26/2024,
Be Be Jan Pakistan Limited,,Pakistan (PK),Home Textiles,,,"Square # 07, Chak No 204 R.B., 38000, Faisalabad",USB 002795,,USB Certification,11/21/2024,"Bed linenbed sheets (PD0015) - 100% organic cotton (RM0104)
Towelsbedspreadskitchen linenkitchen linenquilts (PD0019) - 100% organic cotton (RM0104)
Towelstoilet linen (PD0017) - 100% organic cotton (RM0104)
Blanketstoilet linen (PD0017) - 98% organic cotton (RM0104) + 2% elastane (RM0160)"
Be Stitch Industria Textil Lda,,Portugal (PT),Home Textiles,,,"Zona Industrial de Mide, Lordelo, 4815-169, Guimarães",CB-GOTS-CUC-03- 849495,,Control Union Certifications,3/9/2024,"Dyed fabrics (PC0025) Woven fabrics (PD0059) 100.0%Organic Flax (Linen) (RM0110) Organic
Home textiles (PC0010) Pillowscushions (PD0023) 100.0%Organic Cotton (RM0104) Organic
Home textiles (PC0010) Pillowscushions (PD0023) 100.0%Organic Flax (Linen) (RM0110) Organic
Home textiles (PC0010) Table linenkitchen linennapkins (PD0016) 100.0%Organic Cotton (RM0104) Organic
Home textiles (PC0010) Table linennapkins (PD0016) 100.0%Organic Flax (Linen) (RM0110) Organic
Home textiles (PC0010) Towelstableclothtableclothtoilet linen (PD0017) 100.0%Organic Cotton (RM0104) Organic
Undyed fabrics (PC0027) Woven fabrics (PD0059) 100.0%Organic Cotton (RM0104) Organic"
BEACON IMPEX (PVT) Limited,,Pakistan (PK),"Ladieswear, Children's wear, Fabrics, Men's wear, Yarns",,,"Kohi-Noor Mills, Jaranwala Road",1130751,,Control Union Certifications,9/22/2024,"Women's apparel (PC0002) Overcoatsblouses (PD0005) 100.0% Organic Cotton (RM0104)
 Men's apparel (PC0001) Shirtsblouses (PD0005) 100.0% Organic Cotton (RM0104) 
Children's apparel (PC0004) Sweatersblouses (PD0005) 3.0% Elastane (Spandex) (RM0160) 97.0% Organic Cotton (RM0104) 
 Men's apparel (PC0001) Suitsblouses (PD0005) 4.0% Elastane (Spandex) (RM0160) 96.0% Organic    Cotton (RM0104) 
Men's apparel (PC0001) Shirtsblouses (PD0005) 9.0% Polyamide (Nylon) (RM0182) 91.0% Organic Cotton (RM0104) 
Women's apparel (PC0002) Dressescardigans (PD0004) 100.0% Organic Cotton (RM0104) 
Children's apparel (PC0004) Sweaterscardigans (PD0004) 100.0% Organic Cotton (RM0104) 
Men's apparel (PC0001) Sweaterscardigans (PD0004) 4.0% Elastane (Spandex) (RM0160) 96.0% Organic Cotton (RM0104)cardigans (PD0004) 96.0% Organic Cotton (RM0104) 4.0% Elastane (Spandex) (RM0160) 
Dyed fabrics (PC0025) Knitted fabrics (PD0058) 100.0% Organic Cotton (RM0104) 
Dyed fabrics (PC0025) Knitted fabrics (PD0058) 100.0% Organic Cotton (RM0104) 
 Dyed fabrics (PC0025) Knitted fabrics (PD0058) 6.0% Elastane (Spandex) (RM0160) 94.0% Organic Cotton (RM0104) 
Dyed fabrics (PC0025) Knitted fabrics (PD0058) 5.0% Elastane (Spandex) (RM0160) 95.0% Organic Cotton (RM0104) 
Dyed fabrics (PC0025) Knitted fabrics (PD0058) 5.0% Elastane (Spandex) (RM0160) 95.0% Organic Cotton (RM0104) 
 Dyed fabrics (PC0025) Knitted fabrics (PD0058) 95.0% Organic Cotton (RM0104) 5.0% Elastane (Spandex) (RM0160)
 Dyed yarns (PC0029) Carded yarns (PD0067) 100.0% Organic Cotton (RM0104) 
 Greige yarns (PC0030) Carded yarns (PD0067) 100.0% Organic Cotton (RM0104)
 Men's apparel (PC0001) Pantsjacketspulloverspulloverspulloverspulloversskirts (PD0011) 91.0% Organic Cotton (RM0104) 9.0% Polyamide (Nylon) (RM0182) 
Women's apparel (PC0002) Pantssuit- pants (PD0002) 95.0% Organic Cotton (RM0104) 5.0% Elastane (Spandex) (RM0160) 
 Men's apparel (PC0001) Suitssuit- pants [Nightwear (Relax / Racing)] (PD0002) 100.0% Organic Cotton (RM0104) 
Men's apparel (PC0001) Suitssuit- pants [Nightwear] (PD0002) 6.0% Elastane (Spandex) (RM0160) 94.0% Organic Cotton (RM0104) 
Men's apparel (PC0001) Sweaterstrousers (PD0003) 100.0% Organic Cotton (RM0104) 
 Men's apparel (PC0001) Shirtstrousers (PD0003) 91.0% Organic Cotton (RM0104) 9.0% Polyamide (Nylon) (RM0182) 
Children's apparel (PC0004) Shirtsvests (PD0001) 9.0% Polyamide (Nylon) (RM0182) 91.0% Organic Cotton (RM0104) 
Women's apparel (PC0002) Shirts"
Bears for Humanity,,"United States (US), Texas","Accessories, Babywear, Children's wear, Fabrics, Home Textiles, Product category (other), Toys",,mailto:vijay@bears4humanity.com,"220 Rocky View Ln, Georgetown, 78628",10776,,IDFL,12/10/2024,Product category (other) - Outdoor (PC0018)
Bebetto Tekstil A.S.,,Turkey (TR),Garments,Emel Yilmaz,mailto:emel@bebetto.com,"Duacinari Mh. 4. Kirlangic Sk. No: 2/1, 16270, Bursa",CU 1139338,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/453?task=download_certificate,Control Union Certifications,2/15/2024,Babies apparel
Beckmann & Vagedes GmbH,,Germany (DE),Yarns,Finke,mailto:finke@beckmann-vagedes.de,"Grüner Weg 2a, 46395, Bocholt",CERES-0220,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/6804?task=download_certificate,Ceres,2/24/2024,Carded yarns (PD0067)Greige yarns (PC0030)Normally combed yarns (PD0102)
Beco International Ltd.,,"Korea, Republic of (KR)",Fabrics,,mailto:beco@becointl.co.kr,"#1810, 1811, B building, 583, Yangcheon-ro, Gangseo-gu, 07547, Seoul",1134522,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/35835?task=download_certificate,Control Union Certifications,11/25/2024,Dyed fabrics (PC0025) / Woven fabrics (PD0059) - 100.0% Organic Cotton (RM0104)
"BECRI - Malhas e Confecções, S.A.",,Portugal (PT),"Ladieswear, Children's wear, Men's wear",,,"Rua do Parque Industrial, n.º 60 ‐ Alvelos, 4755-036, Barcelos",196035,,Intertek Testing Services,3/7/2024,
Bedding House B.V.,,Netherlands (NL),Home Textiles,,,"Vennestraat 8, 2161 LE, Lisse",CU 1139672,,Control Union Certifications,3/31/2024,
Bedouin Pvt Ltd,,Pakistan (PK),"Babywear, Children's wear, Home Textiles",,,"62.5 Km, Multan Road, Phool Nagar, Tehsil Pattoki District, Kasur",ETKO 00041752,,ETKO Ekolojik Tarim Kontrol Organizasyonu Ltd Sti,5/28/2024,Overcoatsbed sheets (PD0015)Blanketsbedspreadsblouses (PD0005)Undergarmentcushions (PD0023)hosiery (PD0009)Babies' clothing (PD0013)Babies' accessories (PD0014)Bed linenjacketsquilts (PD0019)Upholstery (PD0021)Pillowsrobes (PD0006)T-shirtssinglets (PD0007)Sockssleepwearsuit- pants (PD0002)Pantstrousers (PD0003)Shirtsvests (PD0001)Suits
Bedre Nætter Aps,,Denmark (DK),Home Textiles,,,"Vesterbro Torv 3,1, 8000, Aarhus",1274287,,Control Union Certifications,12/3/2024,"100% Organic
Cotton] (PD0015)
100.0% Organic Cotton (RM0104) Organic100% organic cotton] (PD0015)
100.0% Organic Cotton (RM0104) Organic
Home textiles (PC0010) Bed linenBedding (PC0015) Bed linenbed sheets [Mayan Sheetbed sheets [Mayan top mattress cover"
Bee Gee Apparel,,"India (IN), Haryana",Fabrics,Mr. Sukhdev Singh,mailto:sukhdevjuneja321@gmail.com,"Plot No. 5E-47 N.I.T Faridabad, 121001, Faridabad",CU 1141791,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/35551?task=download_certificate,Control Union Certifications,10/18/2024,"Dyed fabrics (PC0025) Knitted fabrics (PD0058) -94.0% Organic Cotton (RM0104)+
6.0% Elastane (Spandex) (RM0160)
Dyed fabrics (PC0025) Knitted fabrics (PD0058) -100.0% Organic Cotton (RM0104)"
Beechfield Brands Ltd.,,United Kingdom (GB),Accessories,,,"Silverpoint, Moor street, BL9 5AQ, Bury",CU 811033,,Control Union Certifications,3/21/2024,
Beek Knit Fashions,,"India (IN), Tamil Nadu","Babywear, Children's wear, Garments, Ladieswear, Men's wear, Accessories",,,"SF. NO 14/1/C1 63 Velampalayam, Palladam, 641 663, Tirupur",ICEA-TX-637,,ICEA Istituto per la Certificazione Etica e Ambientale,6/20/2024,"Babies' apparel (PC0003)Carried
accessories (PC0011)Children's apparel (PC0004)Children's apparel (PC0004)Men's apparel
(PC0001)Unisex apparel (PC0005)Women's apparel (PC0002)Worn accessories (PC0012)"
BEEKU EXPORTS,,"India (IN), Tamil Nadu","Ladieswear, Children's wear",HARRIS ALAXIN,mailto:hr@beekuexports.com,"NO:64, JANAKIRAM NAGER, CUDAPPAH ROAD,PUTHUGARAM, 600 099, CHENNAI",ICEA-TX-3399,,ICEA Istituto per la Certificazione Etica e Ambientale,9/26/2024,Children's denim apparel (PC0008)Children's denim apparel (PC0008)Women's denim apparel (PC0007)
Beeskin GmbH,,Germany (DE),"Fabrics, Product category (other)",Tina Sauer,mailto:contact@beeskin.com,"Potsdamer Chaussee 80, 14129, Berlin",205225,,Ecocert Greenlife,6/30/2024,"100% organic cotton (RM0104)100% organic cotton (RM0104)FoodHome textiles (PC0010)Organic TextilesOrganic Textiles

Home textiles (PC0010)Towelscontactkitchenlinenlinen (PD0017)textiles (PD0018)toilet"
Befa Orme Kumas San. Tic. Ltd. Sti.,,Turkey (TR),Fabrics,Bekir Geyik,mailto:bekir.geyik@befatextile.com,"15 Temmuz Mh. 1473. Sk. No: 39/A Bagcilar, 34200, Istanbul",CU 1194847,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/39000?task=download_certificate,Control Union Certifications,9/25/2024,Fabrics
BEIJIANG VIETNAM TEXTILE COMPANY LIMITED,,Viet Nam (VN),Fabrics,,,"QUANG PHONG COMMUNE, HAI HA DISTRICT, TEXHONG  HAI HA  INDUSTRIAL ZONE",215771,,Ecocert Greenlife,10/31/2024,
"Beijing Aikon Garment Co., Ltd",,China (CN),Yarns,,,"Huai Rou, No.3 South Industry Development Zone Yan Qi",280333,,Ecocert Greenlife,6/12/2024,
"Beijing Aikon Textiles Co., Ltd",,China (CN),"Ladieswear, Children's wear, Men's wear",,,"Huai Rou, No.3 South Industry Development Zone Yan Qi",280287,,Ecocert Greenlife,6/12/2024,
